timestamp,symbol,price,return,pnl,equity,expected_pnl,implementation_shortfall,volatility,volume_ratio,spread_bps,slippage_bps,signal_strength,news_risk,strategy_type,rsi_14,price_to_ma_20_pct,momentum_20d_pct,trend_strength,implied_volatility,volatility_limit,net_interest_margin_trend,loan_loss_risk,oil_momentum_20d_pct,inventory_surprise_pct,action,decision_reason,target_position,target_quantity,target_weight,fill_quantity,fill_price,position_quantity,kind,event_id,parent_id,available_at,decision_timestamp,strategy_id,strategy_version,model_version,feature_snapshot_id,detail
2025-08-18T09:30:00Z,AAPL,225.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,1.2,0.5,0.686,0.1,RSI mean reversion,48,0.29,,,,,,,,,,,,,,,,,observation,aapl-observation-00,,2025-08-18T09:30:00Z,,demo-aapl-rsi-mean-reversion,2026.08-demo,,,Observation evidence for AAPL cycle 1.
2025-08-18T09:31:00Z,AAPL,225.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,1.2,0.5,0.686,0.1,RSI mean reversion,48,0.29,,,,,,,,,HOLD,HOLD: RSI was 48; below 30 buys and above 65 sells while the middle range holds.,0,,0.0,,,,decision,aapl-decision-00,aapl-observation-00,2025-08-18T09:30:00Z,2025-08-18T09:31:00Z,demo-aapl-rsi-mean-reversion,2026.08-demo,aapl-rsi-reversion-3.2,aapl-features-00,Decision evidence for AAPL cycle 1.
2025-08-18T09:32:00Z,AAPL,225.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,1.2,0.5,0.686,0.1,RSI mean reversion,48,0.29,,,,,,,,,,,0,0,0.0,,,,target,aapl-target-00,aapl-decision-00,2025-08-18T09:32:00Z,,demo-aapl-rsi-mean-reversion,2026.08-demo,,,Target evidence for AAPL cycle 1.
2025-08-18T09:33:00Z,AAPL,225.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,1.2,0.5,0.686,0.1,RSI mean reversion,48,0.29,,,,,,,,,,,,,,0,,,fill,aapl-fill-00,aapl-target-00,2025-08-18T09:33:00Z,,demo-aapl-rsi-mean-reversion,2026.08-demo,,,Fill evidence for AAPL cycle 1.
2025-08-18T09:34:00Z,AAPL,225.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,1.2,0.5,0.686,0.1,RSI mean reversion,48,0.29,,,,,,,,,,,,,,,,0,position,aapl-position-00,aapl-fill-00,2025-08-18T09:34:00Z,,demo-aapl-rsi-mean-reversion,2026.08-demo,,,Position evidence for AAPL cycle 1.
2025-08-18T09:35:00Z,AAPL,225.0,0.0,0.0,0.0,0.0,0.0,0.14,1.18,1.2,0.5,0.686,0.1,RSI mean reversion,48,0.29,,,,,,,,,,,,,,,,,pnl,aapl-pnl-00,aapl-position-00,2025-08-18T09:35:00Z,,demo-aapl-rsi-mean-reversion,2026.08-demo,,,Pnl evidence for AAPL cycle 1.
2025-08-18T09:37:00Z,MSFT,416.2251,0.002952,0.0,0.0,0.0,0.0,0.1957,1.097,1.786,0.603,0.15,0.17,20-day momentum,,,1.2,0.24,,,,,,,,,,,,,,,observation,msft-observation-00,,2025-08-18T09:37:00Z,,demo-msft-20-day-momentum,2026.08-demo,,,Observation evidence for MSFT cycle 1.
2025-08-18T09:38:00Z,MSFT,416.2251,0.002952,0.0,0.0,0.0,0.0,0.1957,1.097,1.786,0.603,0.15,0.17,20-day momentum,,,1.2,0.24,,,,,,,HOLD,HOLD: 20-day momentum was 1.2%; above 3% buys and below -2% sells.,0,,0.0,,,,decision,msft-decision-00,msft-observation-00,2025-08-18T09:37:00Z,2025-08-18T09:38:00Z,demo-msft-20-day-momentum,2026.08-demo,msft-momentum-2.4,msft-features-00,Decision evidence for MSFT cycle 1.
2025-08-18T09:39:00Z,MSFT,416.2251,0.002952,0.0,0.0,0.0,0.0,0.1957,1.097,1.786,0.603,0.15,0.17,20-day momentum,,,1.2,0.24,,,,,,,,,0,0,0.0,,,,target,msft-target-00,msft-decision-00,2025-08-18T09:39:00Z,,demo-msft-20-day-momentum,2026.08-demo,,,Target evidence for MSFT cycle 1.
2025-08-18T09:40:00Z,MSFT,416.2251,0.002952,0.0,0.0,0.0,0.0,0.1957,1.097,1.786,0.603,0.15,0.17,20-day momentum,,,1.2,0.24,,,,,,,,,,,,0,,,fill,msft-fill-00,msft-target-00,2025-08-18T09:40:00Z,,demo-msft-20-day-momentum,2026.08-demo,,,Fill evidence for MSFT cycle 1.
