timestamp,symbol,price,return,pnl,equity,earnings_revision_pct,earnings_surprise_pct,revenue_growth_yoy,eps_growth_yoy,free_cash_flow_yield,valuation_percentile,debt_to_ebitda,interest_coverage,alpha_score,expected_return,information_coefficient,rank_ic,weight_error_bps,target_actual_weight_gap_bps,fundamental_age_days,as_of_lag_days,revision_lag_days
2025-08-15T15:30:00,AAPL,98.3799,0.002577,2241.87,2241.87,0.65,2.1,11.4,13.7,4.6,0.52,1.35,9.1,0.72,1.45,0.075,0.092,8.0,11.0,1.1,0.45,0.3
2025-08-15T15:35:00,MSFT,98.441,0.000623,1579.13,3821.0,0.674,2.124,11.424,13.724,4.608,0.521,1.356,9.124,0.722,1.458,0.075,0.092,8.1,11.12,1.12,0.46,0.31
2025-08-15T15:40:00,NVDA,98.5358,0.000967,1708.57,5529.57,0.698,2.148,11.448,13.748,4.616,0.522,1.362,9.148,0.725,1.466,0.075,0.092,8.19,11.24,1.15,0.47,0.32
2025-08-15T15:45:00,JPM,98.4522,-0.000841,616.67,6146.24,0.722,2.172,11.472,13.772,4.624,0.524,1.368,9.172,0.727,1.474,0.076,0.093,8.29,11.36,1.17,0.49,0.32
2025-08-15T15:50:00,XOM,98.5736,0.001242,1381.17,7527.41,0.745,2.195,11.495,13.795,4.632,0.525,1.374,9.195,0.729,1.482,0.076,0.093,8.38,11.47,1.19,0.5,0.33
2025-08-15T15:55:00,AAPL,98.716,0.001456,1957.15,9484.56,0.766,2.216,11.516,13.816,4.639,0.526,1.379,9.216,0.732,1.489,0.076,0.093,8.46,11.58,1.22,0.51,0.34
2025-08-15T16:00:00,MSFT,98.9254,0.002134,2461.07,11945.63,0.786,2.236,11.536,13.836,4.645,0.527,1.384,9.236,0.734,1.495,0.076,0.093,8.54,11.68,1.24,0.52,0.35
2025-08-15T16:05:00,NVDA,98.9566,0.000332,1143.09,13088.72,0.804,2.254,11.554,13.854,4.651,0.528,1.389,9.254,0.735,1.501,0.077,0.094,8.62,11.77,1.25,0.53,0.35
2025-08-15T16:10:00,JPM,98.8696,-0.000862,380.34,13469.06,0.821,2.271,11.571,13.871,4.657,0.529,1.393,9.271,0.737,1.507,0.077,0.094,8.68,11.85,1.27,0.54,0.36
2025-08-15T16:15:00,XOM,98.8439,-0.000242,614.32,14083.38,0.835,2.285,11.585,13.885,4.662,0.529,1.396,9.285,0.739,1.512,0.077,0.094,8.74,11.93,1.29,0.54,0.36
2025-08-15T16:20:00,AAPL,99.0151,0.001752,2142.48,16225.86,0.847,2.297,11.597,13.897,4.666,0.53,1.399,9.297,0.74,1.516,0.077,0.094,8.79,11.99,1.3,0.55,0.37
2025-08-15T16:25:00,MSFT,99.2262,0.002152,2177.26,18403.12,0.857,2.307,11.607,13.907,4.669,0.53,1.402,9.307,0.741,1.519,0.077,0.094,8.83,12.03,1.31,0.55,0.37
2025-08-15T16:30:00,NVDA,99.165,-0.000595,766.13,19169.25,0.864,2.314,11.614,13.914,4.671,0.531,1.403,9.314,0.741,1.521,0.077,0.094,8.86,12.07,1.31,0.56,0.37
2025-08-15T16:35:00,JPM,99.2771,0.001153,2072.38,21241.63,0.868,2.318,11.618,13.918,4.673,0.531,1.405,9.318,0.742,1.523,0.077,0.094,8.87,12.09,1.32,0.56,0.37
2025-08-15T16:40:00,XOM,99.4071,0.001332,1957.47,23199.1,0.87,2.32,11.62,13.92,4.673,0.531,1.405,9.32,0.742,1.523,0.077,0.094,8.88,12.1,1.32,0.56,0.37
2025-08-15T16:45:00,AAPL,99.3818,-0.000233,921.43,24120.53,0.869,2.319,11.619,13.919,4.673,0.531,1.405,9.319,0.742,1.523,0.077,0.094,8.88,12.09,1.32,0.56,0.37
2025-08-15T16:50:00,MSFT,99.4028,0.000232,1016.6,25137.13,0.865,2.315,11.615,13.915,4.672,0.531,1.404,9.315,0.742,1.522,0.077,0.094,8.86,12.08,1.32,0.56,0.37
2025-08-15T16:55:00,NVDA,99.3159,-0.000853,370.63,25507.76,0.859,2.309,11.609,13.909,4.67,0.53,1.402,9.309,0.741,1.52,0.077,0.094,8.84,12.04,1.31,0.55,0.37
2025-08-15T17:00:00,JPM,99.3356,0.000218,1332.65,26840.41,0.85,2.3,11.6,13.9,4.667,0.53,1.4,9.3,0.74,1.517,0.077,0.094,8.8,12.0,1.3,0.55,0.37
2025-08-15T17:05:00,XOM,99.2428,-0.000915,401.65,27242.06,0.839,2.289,11.589,13.889,4.663,0.529,1.397,9.289,0.739,1.513,0.077,0.094,8.75,11.94,1.29,0.54,0.36
2025-08-15T17:10:00,AAPL,99.3054,0.000649,1483.23,28725.29,0.825,2.275,11.575,13.875,4.658,0.529,1.394,9.275,0.737,1.508,0.077,0.094,8.7,11.87,1.27,0.54,0.36
2025-08-15T17:15:00,MSFT,99.1602,-0.001447,-137.25,28588.04,0.809,2.259,11.559,13.859,4.653,0.528,1.39,9.259,0.736,1.503,0.077,0.094,8.64,11.8,1.26,0.53,0.35
