timestamp,symbol,price,return,earnings_revision_pct,earnings_surprise_pct,revenue_growth_yoy,eps_growth_yoy,free_cash_flow_yield,valuation_percentile,debt_to_ebitda,interest_coverage,alpha_score,expected_return,information_coefficient,rank_ic,weight_error_bps,target_actual_weight_gap_bps,fundamental_age_days,as_of_lag_days,revision_lag_days
2025-08-15T15:30:00,AAPL,98.3799,0.002577,0.65,2.1,11.4,13.7,4.6,0.52,1.35,9.1,0.72,1.45,0.075,0.092,8.0,11.0,1.1,0.45,0.3
2025-08-15T15:35:00,MSFT,98.441,0.000623,0.674,2.124,11.424,13.724,4.608,0.521,1.356,9.124,0.722,1.458,0.075,0.092,8.1,11.12,1.12,0.46,0.31
2025-08-15T15:40:00,NVDA,98.5358,0.000967,0.698,2.148,11.448,13.748,4.616,0.522,1.362,9.148,0.725,1.466,0.075,0.092,8.19,11.24,1.15,0.47,0.32
2025-08-15T15:45:00,JPM,98.4522,-0.000841,0.722,2.172,11.472,13.772,4.624,0.524,1.368,9.172,0.727,1.474,0.076,0.093,8.29,11.36,1.17,0.49,0.32
2025-08-15T15:50:00,XOM,98.5736,0.001242,0.745,2.195,11.495,13.795,4.632,0.525,1.374,9.195,0.729,1.482,0.076,0.093,8.38,11.47,1.19,0.5,0.33
2025-08-15T15:55:00,AAPL,98.716,0.001456,0.766,2.216,11.516,13.816,4.639,0.526,1.379,9.216,0.732,1.489,0.076,0.093,8.46,11.58,1.22,0.51,0.34
2025-08-15T16:00:00,MSFT,98.9254,0.002134,0.786,2.236,11.536,13.836,4.645,0.527,1.384,9.236,0.734,1.495,0.076,0.093,8.54,11.68,1.24,0.52,0.35
2025-08-15T16:05:00,NVDA,98.9566,0.000332,0.804,2.254,11.554,13.854,4.651,0.528,1.389,9.254,0.735,1.501,0.077,0.094,8.62,11.77,1.25,0.53,0.35
2025-08-15T16:10:00,JPM,98.8696,-0.000862,0.821,2.271,11.571,13.871,4.657,0.529,1.393,9.271,0.737,1.507,0.077,0.094,8.68,11.85,1.27,0.54,0.36
2025-08-15T16:15:00,XOM,98.8439,-0.000242,0.835,2.285,11.585,13.885,4.662,0.529,1.396,9.285,0.739,1.512,0.077,0.094,8.74,11.93,1.29,0.54,0.36
