timestamp,pnl,volatility,volume_ratio,spread_bps,slippage_bps,signal_strength,news_risk
2025-08-14T09:30:00,1157.32,0.1107,0.9056,2.6414,0.9249,0.8064,0
2025-08-14T09:35:00,1190.18,0.12018,1.0525,2.4917,0.9058,0.7257,0.2554
2025-08-14T09:40:00,729.75,0.12304,1.0339,2.6918,1.0424,0.7493,0.1005
2025-08-14T09:45:00,632.16,0.13821,1.0745,2.6429,0.7424,0.6563,0.1633
2025-08-14T09:50:00,797.25,0.13108,0.8801,3.094,1.2593,0.6048,0.1832
2025-08-14T09:55:00,1083.12,0.12019,1.0096,2.6596,0.886,0.7141,0.1123
2025-08-14T10:00:00,901.54,0.11345,1.0354,2.8379,0.8019,0.6765,0.2463
2025-08-14T10:05:00,704.62,0.13995,1.1026,2.5716,0.8878,0.7407,0.1829
2025-08-14T10:10:00,836.93,0.12088,1.1324,2.482,0.8035,0.6206,0.1488
2025-08-14T10:15:00,1080.0,0.10986,1.049,2.6823,0.9015,0.7224,0.1948
2025-08-14T10:20:00,643.9,0.12245,1.0636,2.2783,0.575,0.68,0.1879
2025-08-14T10:25:00,578.65,0.14077,1.066,2.4234,0.5518,0.6627,0.2937
2025-08-14T10:30:00,1090.34,0.13324,1.1372,2.7309,0.9408,0.6651,0.1687
2025-08-14T10:35:00,476.82,0.13057,1.0402,2.5696,0.9832,0.7979,0.1883
2025-08-14T10:40:00,1072.82,0.11977,1.007,2.6215,1.0267,0.7226,0.1176
2025-08-14T10:45:00,893.44,0.13949,1.1366,2.6861,0.7865,0.6626,0.2421
2025-08-14T10:50:00,661.54,0.12752,1.1375,2.0744,0.717,0.6913,0.2351
2025-08-14T10:55:00,1092.9,0.13046,1.0991,2.416,0.8538,0.7441,0.128
2025-08-14T11:00:00,878.82,0.1291,1.2572,1.7364,0.6695,0.7585,0.2597
2025-08-14T11:05:00,1176.16,0.11048,1.0866,2.3537,0.7393,0.6385,0.1547
2025-08-14T11:10:00,932.51,0.14042,1.0595,2.779,0.9959,0.662,0.1266
2025-08-14T11:15:00,1249.07,0.12102,1.081,2.3013,0.9108,0.663,0.1726
2025-08-14T11:20:00,921.96,0.1391,1.1712,2.322,0.857,0.6667,0.2115
2025-08-14T11:25:00,950.37,0.14757,1.1613,2.0557,0.6417,0.7061,0.1065
