timestamp,symbol,price,return,pnl,equity,earnings_revision_pct,earnings_surprise_pct,revenue_growth_yoy,eps_growth_yoy,free_cash_flow_yield,valuation_percentile,debt_to_ebitda,interest_coverage,alpha_score,expected_return,information_coefficient,rank_ic,weight_error_bps,target_actual_weight_gap_bps,fundamental_age_days,as_of_lag_days,revision_lag_days,action,target_position,target_weight,decision_reason
2025-08-15T15:30:00,AAPL,98.3799,-0.0002,746.0,746.0,0.7,2.3,10.8,13.2,4.7,0.54,1.4,9.4,0.73,1.5,0.078,0.094,7.0,10.0,1.0,0.4,0.3,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T15:35:00,MSFT,98.441,-0.000197,816.61,1562.61,0.726,2.326,10.826,13.226,4.709,0.541,1.406,9.426,0.733,1.509,0.078,0.094,7.1,10.1,1.03,0.41,0.31,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T15:40:00,NVDA,98.5358,-0.000195,882.88,2445.49,0.751,2.351,10.851,13.251,4.717,0.543,1.413,9.451,0.735,1.517,0.079,0.095,7.2,10.2,1.05,0.43,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T15:45:00,JPM,98.4522,-0.000193,940.75,3386.24,0.775,2.375,10.875,13.275,4.725,0.544,1.419,9.475,0.737,1.525,0.079,0.095,7.3,10.3,1.07,0.44,0.32,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T15:50:00,XOM,98.5736,-0.00019,986.67,4372.91,0.797,2.397,10.897,13.297,4.732,0.545,1.424,9.497,0.74,1.532,0.079,0.095,7.39,10.39,1.1,0.45,0.33,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T15:55:00,AAPL,98.716,-0.000188,1017.85,5390.76,0.818,2.418,10.918,13.318,4.739,0.546,1.429,9.518,0.742,1.539,0.079,0.095,7.47,10.47,1.12,0.46,0.34,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:00:00,MSFT,98.9254,-0.000186,1032.37,6423.13,0.836,2.436,10.936,13.336,4.745,0.547,1.434,9.536,0.744,1.545,0.079,0.095,7.54,10.54,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:05:00,NVDA,98.9566,-0.000185,1029.39,7452.52,0.851,2.451,10.951,13.351,4.75,0.548,1.438,9.551,0.745,1.55,0.08,0.096,7.61,10.61,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:10:00,JPM,98.8696,-0.000184,1009.12,8461.64,0.864,2.464,10.964,13.364,4.755,0.548,1.441,9.564,0.746,1.555,0.08,0.096,7.66,10.66,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:15:00,XOM,98.8439,-0.000183,972.84,9434.48,0.873,2.473,10.973,13.373,4.758,0.549,1.443,9.573,0.747,1.558,0.08,0.096,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:20:00,AAPL,99.0151,-0.000182,922.84,10357.32,0.878,2.478,10.978,13.378,4.759,0.549,1.445,9.578,0.748,1.559,0.08,0.096,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:25:00,MSFT,99.2262,-0.000182,862.23,11219.55,0.88,2.48,10.98,13.38,4.76,0.549,1.445,9.58,0.748,1.56,0.08,0.096,7.72,10.72,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:30:00,NVDA,99.165,-0.000182,794.78,12014.33,0.878,2.478,10.978,13.378,4.759,0.549,1.445,9.578,0.748,1.559,0.08,0.096,7.71,10.71,1.18,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:35:00,JPM,99.2771,-0.000183,724.68,12739.01,0.873,2.473,10.973,13.373,4.758,0.549,1.443,9.573,0.747,1.558,0.08,0.096,7.69,10.69,1.17,0.49,0.36,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:40:00,XOM,99.4071,-0.000184,656.29,13395.3,0.864,2.464,10.964,13.364,4.755,0.548,1.441,9.564,0.746,1.555,0.08,0.096,7.65,10.65,1.16,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:45:00,AAPL,99.3818,-0.000185,593.83,13989.13,0.851,2.451,10.951,13.351,4.75,0.548,1.438,9.551,0.745,1.55,0.08,0.096,7.61,10.61,1.15,0.48,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
2025-08-15T16:50:00,MSFT,99.4028,-0.000186,541.16,14530.29,0.836,2.436,10.936,13.336,4.745,0.547,1.434,9.536,0.744,1.545,0.079,0.095,7.54,10.54,1.14,0.47,0.35,buy,1.0,0.041,Fundamental alpha score supported the long target.
